nr_ambulancias,nr_emergencias,distancia_total_media,tempo_medio_de_resposta,velocidade_media,media_de_gravidades
7,10,43.09930132971329,8.657043047101899,7.0,5.5
8,10,42.58164182978408,8.083091689969155,7.0,7.0
1,5,50.97653854863648,10.882362649805213,7.0,5.8
2,5,52.1354757340856,12.047925104869373,7.0,5.0
3,5,36.80960627831937,9.058515182617052,7.0,5.0
4,5,48.581717041697075,8.54024529167101,7.0,6.4
5,10,37.12293017243188,6.040366271553985,8.0,6.7
6,10,32.870693434936605,8.708836679367076,8.0,4.2
7,10,33.60429457911549,5.500536822389437,8.0,7.8
8,10,44.57212856317927,8.871516070397409,8.0,4.6
1,5,45.30885156986747,9.263606446233434,8.0,4.6
2,5,39.84060085623268,6.780075107029086,8.0,7.2
3,5,54.71191050449003,8.638988813061255,8.0,5.4
4,5,43.82410349944769,7.878012937430961,8.0,4.2
5,10,43.60149166787027,6.744610185318919,9.0,5.2
6,10,55.311104211749274,8.94567824574992,9.0,6.4
7,10,47.91496073991135,7.323884526656815,9.0,5.7
8,10,29.670648802009758,5.796738755778863,9.0,5.2
1,5,35.577332133847754,5.7530369037608615,9.0,6.4
2,5,30.519100891282637,6.791011210142516,9.0,4.8
3,5,31.0754648483689,6.052829427596544,9.0,4.2
4,5,29.72470346581064,6.902744829534515,9.0,5.0
5,10,52.099994130725364,10.609999413072535,10.0,3.7
6,10,51.93656413310278,7.193656413310277,10.0,5.6
7,10,43.83399090726634,6.2833990907266335,10.0,5.5
8,10,38.75671621999198,7.475671621999197,10.0,4.3
1,5,35.29063010004647,4.329063010004647,10.0,7.4
2,5,49.85341733514928,9.985341733514929,10.0,3.6
3,5,52.51467295876489,6.851467295876489,10.0,7.0
4,5,47.09761517037013,6.909761517037014,10.0,6.2
5,10,43.042751572911094,6.41297741571919,11.0,5.4
6,10,42.36955958265366,6.751778143877604,11.0,4.9
7,10,38.52833943115765,8.202576311923425,11.0,3.5
8,10,39.51674458636005,5.392431326032733,11.0,6.1
1,5,41.677630710231696,4.588875519111973,11.0,6.0
2,5,45.662855055565274,6.751168641415025,11.0,4.0
3,5,43.891796025761906,5.3901632750692645,11.0,7.4
4,5,41.25934266757179,5.950849333415617,11.0,5.0
5,10,33.36349442177732,6.180291201814777,12.0,5.0
6,10,39.911591963217845,4.825965996934821,12.0,7.3
7,10,52.1453032419544,6.2454419368295335,12.0,5.4
8,10,36.83917548443971,4.669931290369975,12.0,7.2
1,5,51.597804509393924,6.899817042449493,12.0,4.8
2,5,42.56716140361727,5.547263450301439,12.0,4.6
3,5,47.35318252971467,6.946098544142889,12.0,5.4
4,5,48.002387700353026,7.400198975029417,12.0,3.0
5,10,42.81610130757997,7.993546254429229,13.0,3.5
6,10,42.74631732386147,5.388178255681652,13.0,5.1
7,10,32.75219407236314,4.119399544027933,13.0,6.3
8,10,48.578162563009805,5.53678173561614,13.0,6.5
1,5,35.148659127304086,5.703743009792622,13.0,6.0
2,5,48.60834436521891,5.539103412709147,13.0,5.4
3,5,42.391500038281634,4.660884618329357,13.0,7.0
4,5,49.85406550659657,4.834928115892044,13.0,8.0
5,10,34.88265344431324,6.391618103165232,14.0,5.0
6,10,36.552152674597224,5.210868048185516,14.0,6.5
7,10,45.884726555546855,6.477480468253347,14.0,5.1
8,10,49.17664183216906,7.112617273726362,14.0,3.9
1,5,46.643865808212354,4.531704700586596,14.0,7.0
2,5,51.99042929695183,6.313602092639417,14.0,4.6
3,5,35.58702402437294,3.7419302874552103,14.0,7.8
4,5,29.49656483407669,3.506897488148335,14.0,7.6
5,10,43.27222062481744,4.684814708321163,15.0,6.0
6,10,45.08035212818662,5.505356808545775,15.0,6.2
7,10,38.745183863288936,4.883012257552595,15.0,4.7
8,10,30.431404358030523,4.528760290535368,15.0,5.4
1,5,33.23578305911664,5.615718870607776,15.0,4.2
2,5,38.04892452222237,6.536594968148158,15.0,3.6
3,5,30.10742486485168,3.0071616576567783,15.0,8.0
4,5,33.6111465827533,5.440743105516886,15.0,5.8
10,100,43.07503151614131,6.077947713162781,10.7,5.77
11,100,41.54850240586454,5.8757051771297,9.545454545454545,5.75
12,100,41.545096607778014,6.128918134704019,9.166666666666666,5.65
13,100,44.547048890907874,6.851513950565914,9.923076923076923,5.16
14,100,43.3897616373714,5.594080363785631,9.785714285714286,5.81
15,100,37.765543214395386,5.89710670052072,9.8,5.39
16,100,45.13891669440225,6.6365425438252545,9.375,5.27
17,100,43.421576131393415,6.204657583953268,8.529411764705882,5.76
18,100,45.82001401246025,6.777888519242504,9.11111111111111,5.35
19,100,40.67113397363701,5.617355208200593,9.263157894736842,6.23
20,100,42.538882462594856,6.787703791136876,8.95,5.15
21,100,41.78955128913237,6.0709553551825355,10.904761904761905,5.42
21,100,56.68418681822029,11.066623371037368,8.428571428571429,5.69
22,100,41.887582850195294,6.3082441241820755,9.136363636363637,5.53
23,100,43.893087983051366,6.953058921811939,8.826086956521738,5.06
24,100,40.20722777567506,6.104599798396441,8.708333333333334,5.59
25,100,41.91992215298094,6.668001784242682,8.52,5.63
26,100,40.587237641339186,5.704299773844315,9.615384615384615,5.51
27,100,39.60405225462933,6.747120495584532,9.814814814814815,4.75
28,100,89.59208803727819,20.08608461959038,9.964285714285714,5.59
29,100,91.09708057415959,22.63884184157894,9.758620689655173,5.89
30,100,96.06719042631175,21.77124718287702,9.833333333333334,5.69
31,100,77.88569860605489,16.527939360806723,9.64516129032258,5.37
32,100,41.17373743376713,6.119672441619985,8.9375,5.39
33,100,84.23073878376485,19.45755774062312,8.909090909090908,5.49
34,100,90.66388004661547,21.671904542106045,9.411764705882353,5.37
35,100,92.23869853052503,23.31123608685147,8.971428571428572,5.59
36,100,70.2681675331602,15.800308801387715,9.805555555555555,5.67
37,100,67.74905994459364,18.937839515110085,8.81081081081081,5.47
38,100,112.32926125224971,30.381870746448108,9.657894736842104,5.92
39,100,78.54503297360499,20.576144393038167,8.948717948717949,5.17
40,100,98.88998626280161,23.807886961634466,9.55,5.53
41,100,91.84038372891605,20.556403847339926,9.463414634146341,5.61
42,100,100.98082565490392,24.084146553509676,9.595238095238095,5.12
43,100,90.78294405657095,22.105009376600673,9.511627906976743,5.71
44,100,15.240783891878902,2.55301106741236,9.636363636363637,4.9
45,100,86.40385763020694,20.676099861602857,9.311111111111112,5.32
46,100,84.88252932653701,19.264791014172143,9.152173913043478,5.51
47,100,108.38944571545751,30.73231446073435,9.595744680851064,5.12
48,100,88.61637473269994,23.326184647618394,9.0625,5.09
49,100,138.0293453821014,35.73388930645752,9.653061224489797,5.98
50,100,117.30368878696021,36.745115495611415,8.52,5.09
51,100,118.71333697222357,38.93628428218935,9.03921568627451,5.29
52,100,85.41619041432914,23.750255959727653,9.634615384615385,5.64
53,100,104.00550383424343,25.156295514245702,9.981132075471699,5.97
54,100,83.02428433104467,23.387928562953526,8.851851851851851,5.57
55,100,93.76320766525967,20.336694545021558,10.145454545454545,5.63
56,100,148.84496034892382,38.33693609461159,9.428571428571429,5.47
57,100,100.04177388141281,26.970603294552816,9.631578947368421,5.55
58,100,100.09812485680769,26.629879851041306,10.172413793103448,5.31
59,100,109.8926814186746,30.011406127448232,9.372881355932204,5.49
60,100,77.63263758636506,19.33495283458572,9.583333333333334,5.18
61,100,126.62157438838814,35.96979034885618,9.918032786885245,5.42
62,100,108.41591724205713,28.224274550426106,9.725806451612904,5.18
63,100,100.35446051068747,24.118972621830782,9.428571428571429,5.47
64,100,108.97079625068935,34.33902755257016,9.265625,5.42
65,100,120.75371816272654,39.3808225992353,9.215384615384615,5.18
66,100,156.63747954280532,43.93328206245304,9.757575757575758,5.17
67,100,115.13059469305782,46.11715170585486,9.208955223880597,5.17
68,100,130.29930956085974,44.697598584557525,10.220588235294118,5.94
69,100,105.0579860789719,34.07550366191797,10.057971014492754,5.68
60,100,78.32089298086373,18.36855165610092,9.433333333333334,5.72
61,100,83.65809752736243,20.687526584598103,10.032786885245901,5.18
62,100,130.01201004612466,41.848547222510234,9.661290322580646,5.33
63,100,88.91937806336905,25.488851111891368,10.0,5.54
64,100,78.98111244938161,19.227686581198128,9.34375,5.03
65,100,99.3026323899661,28.92370514960844,9.8,5.2
66,100,115.54132337018649,34.42298397786908,9.742424242424242,5.3
67,100,95.20759022516842,20.323864553031093,10.104477611940299,5.64
68,100,76.92742750247149,21.335120850432812,9.514705882352942,5.05
69,100,41.525104221388574,6.105173479309322,9.057971014492754,5.46
70,100,148.68952026592768,39.86021462297183,9.185714285714285,5.63
71,100,40.426064496823294,5.688253864912932,9.845070422535212,5.92
72,100,80.08496711438644,22.044346683095945,9.98611111111111,5.19
73,100,89.00122705029622,22.024612214642254,9.808219178082192,5.81
74,100,31.279038921136475,5.411147140890627,8.837837837837839,5.12
75,100,41.272035690422754,5.977297587556568,9.68,5.55
76,100,40.675991650256435,6.017345228147734,9.302631578947368,5.45
77,100,44.453123979334414,6.748043501639423,9.402597402597403,5.38
78,100,66.0192940090468,14.959618634046837,9.666666666666666,5.81
79,100,41.565296343521425,6.0539268998828355,9.405063291139241,5.58
80,100,42.8115813639241,6.047962440454199,9.675,5.65
81,100,76.61849712763947,23.46850629960188,8.82716049382716,5.06
82,100,100.28943110773336,26.206111522091618,9.414634146341463,5.97
83,100,43.981547566657085,6.618214998264863,9.204819277108435,5.17
84,100,39.034862382674994,5.960040770220419,9.619047619047619,5.52
85,100,39.82142069633852,6.053380310235619,9.75294117647059,5.71
86,100,43.8638662614407,6.143166302699085,9.895348837209303,5.57
87,100,44.42983852995314,6.045989429995761,9.344827586206897,6.13
88,100,42.330988148091535,6.454679070141549,9.238636363636363,5.25
89,100,41.076042124125586,6.457916597092076,9.325842696629213,5.13
90,100,44.94341303789458,6.620116488883455,9.522222222222222,5.51
91,100,97.7425681874538,26.502848141814006,10.12087912087912,5.63
92,100,44.4186169544941,6.200724821200591,9.347826086956522,5.72
93,100,43.78819491131402,5.805727473944428,9.720430107526882,6.02
94,100,40.96335185034328,6.429491050038307,9.138297872340425,5.39
95,100,40.71974919749931,6.777805623722781,9.863157894736842,5.04
96,100,42.59857258371046,6.463032559767207,9.34375,5.48
97,100,44.34666562903622,6.374365664953388,10.041237113402062,5.48
98,100,40.44043606209304,6.412774863728056,9.26530612244898,5.57
99,100,42.29005887144047,5.883754242147125,9.353535353535353,6.11
101,100,40.258981870916,6.055893148486448,9.782178217821782,5.74
102,100,8.100903162091832,1.020503315509531,9.676470588235293,5.82
103,100,11.265820946483954,1.726860930243029,9.70873786407767,5.39
104,100,17.165999337355366,2.467571025044583,9.913461538461538,5.31
105,100,15.632945982957445,2.223407353868928,9.857142857142858,5.78
106,100,26.72485319539918,4.734956291803924,8.622641509433961,5.15
107,100,21.550945045759107,3.120147634427384,9.644859813084112,5.58
108,100,17.004194153190596,2.4478774922584585,9.666666666666666,5.59
109,100,19.309297919606134,3.07138856441015,9.027522935779816,5.62
110,100,18.284590723609877,2.531058550058172,9.4,6.03
7,10,40.82514334478393,6.518839691432731,9.285714285714286,5.1
7,10,35.049067834301134,4.540219765201688,10.0,5.4
5,10,42.64514583215414,5.088875519376005,11.6,6.1
6,10,35.31721587420737,4.7776559378493015,10.0,5.8
7,10,39.15439782986211,5.921070344325258,10.142857142857142,5.1
8,10,36.25050343951832,6.103851263634686,10.625,4.8
9,10,36.22155672067867,6.28015665081827,10.0,5.1
10,10,40.66729028733194,5.256187050680177,10.4,5.6
11,10,42.390316398308535,5.804247035878255,9.181818181818182,6.8
12,10,51.017582947700916,6.5234086364325155,9.083333333333334,5.6
10,50,41.67802497725967,7.181183302068877,10.0,4.72
11,50,43.282487265613135,7.219451066078066,7.909090909090909,5.42
12,50,43.519866036940854,6.12884318933665,9.25,5.96
13,50,45.28530323899719,7.173678150680805,8.384615384615385,5.9
14,50,42.56457755286897,5.805509817019958,10.5,5.52
15,50,40.678112982536085,5.8413827384285595,9.266666666666667,6.0
16,50,43.32017182366819,5.275946038259289,9.375,6.5
17,50,42.3756989517386,6.744748263486831,9.529411764705882,5.16
18,50,42.7188420229129,5.711468698665657,9.666666666666666,5.88
19,50,48.30837499335963,7.34302328810049,9.421052631578947,5.42
20,50,37.53008433210008,6.445121387786174,8.9,5.2
21,50,38.729003322163365,5.988105298444244,9.761904761904763,5.48
22,50,42.656399284459674,5.792539192043247,11.045454545454545,5.32
23,50,43.68717103386348,6.1427670285290015,8.956521739130435,5.72
24,50,42.68075443772419,6.218489390734561,10.458333333333334,5.28
25,50,45.91125324944658,6.2913209988386765,9.52,5.5
26,50,43.193248407250685,5.809857556125567,9.346153846153847,6.38
27,50,38.26177291056482,5.5122420231914075,8.777777777777779,6.18
28,50,40.7986034198487,5.316208013796106,9.428571428571429,6.06
29,50,42.93231674009262,6.042419957950606,9.068965517241379,5.3
30,50,65.14847368704208,13.661341265899663,9.133333333333333,5.88
31,50,35.154830204651304,5.732562513288841,9.290322580645162,5.36
32,50,41.91146368599945,7.127756445537532,8.25,5.02
33,50,79.44454227824734,21.060736117985453,9.181818181818182,5.06
34,50,44.26394989403252,6.328070722500798,9.411764705882353,5.54
35,50,42.91217292803091,6.509740136252202,10.085714285714285,4.7
36,50,43.69974198256421,6.850112740130095,9.61111111111111,5.32
37,50,55.03184872318268,14.956125286947064,9.216216216216216,5.32
38,50,46.066890300598054,7.309823951451209,9.921052631578947,4.68
39,50,41.080866224055555,6.194688381249859,9.333333333333334,5.44
40,50,44.79905314086369,6.786058028403144,9.1,5.56
41,50,65.23678942699303,17.512596956219635,9.0,5.52
42,50,58.65738813683904,13.13626304904034,9.0,5.42
43,50,43.61746904487739,6.2759190271514305,9.953488372093023,5.32
44,50,63.32063924166858,14.932835674790379,8.977272727272727,5.56
45,50,65.90712151604045,23.326601165601364,9.155555555555555,5.38
46,50,45.89937794191323,6.474900340430593,9.630434782608695,5.6
47,50,56.4089936748766,13.074354450191525,10.27659574468085,6.14
48,50,89.5919091959789,21.652631587422047,9.458333333333334,5.82
49,50,65.52870652536161,15.429814687983367,10.142857142857142,5.9
50,50,42.73142317204328,5.819770424052441,9.56,6.08
51,50,58.667382026835476,12.799085677075903,9.568627450980392,5.3
52,50,40.22999790874482,6.74753818535161,10.134615384615385,4.78
53,50,41.63444811831946,6.230230063481596,9.981132075471699,5.42
54,50,75.29235459308647,24.888917815651904,8.88888888888889,4.94
55,50,74.0941812040778,17.396247017941608,9.327272727272728,5.4
56,50,40.60801843854178,5.7531935633256,9.482142857142858,6.1
57,50,41.2302298981753,6.199289383261037,9.175438596491228,6.02
58,50,39.35116593613419,5.59557849213786,9.862068965517242,6.04
59,50,59.81039947870179,13.316653747878718,9.305084745762711,5.5
60,50,42.685752621565555,5.935209408202589,9.566666666666666,5.5
50,100,119.52387896323282,33.40862887234169,9.78,5.65
60,100,40.10517381515616,5.606634095259741,10.116666666666667,5.59
70,100,41.29692207404453,6.339093749073942,9.5,5.63
80,100,42.031721678060855,5.768132513908508,9.9375,5.73
33,55,38.273852407765,6.076199054376408,10.0,5.2
21,34,43.606051041695586,6.664822136633056,8.952380952380953,5.117647058823529
54,26,52.99679602673195,14.949627067015372,9.981481481481481,5.384615384615385
21,41,42.39407750758543,6.052013761535591,11.0,4.780487804878049
41,14,45.70995412812816,6.040677818347531,8.414634146341463,5.285714285714286
59,24,42.73979923911151,6.612862177506169,9.101694915254237,5.041666666666667
16,58,43.60856338802086,6.653336717893891,10.3125,4.896551724137931
52,12,63.36463796045729,11.444469805277976,9.846153846153847,5.5
27,31,37.86173014913758,6.153380262291271,8.74074074074074,5.774193548387097
24,50,57.55364900780407,13.629620766885342,9.458333333333334,5.06
22,25,40.99331997303103,6.33598255851137,9.363636363636363,5.52
29,46,41.081701379889346,6.550868691112771,10.241379310344827,5.043478260869565
24,29,41.06230433075312,5.7614401347949356,9.583333333333334,6.448275862068965
26,23,41.129613440287535,7.579990151701639,9.26923076923077,4.565217391304348
23,48,41.583053466219404,6.209128409012201,8.869565217391305,5.708333333333333
37,16,39.3974133899143,8.024289483838391,8.91891891891892,5.125
42,22,41.55297342649243,5.473394476592604,9.047619047619047,6.045454545454546
13,56,40.22852677378785,5.835699715192403,9.923076923076923,5.625
39,33,45.543982089446686,7.9054606337531075,8.64102564102564,6.181818181818182
39,43,71.57568537577478,17.849618928944246,9.41025641025641,5.046511627906977
47,11,38.95378349347769,7.301415627277686,9.76595744680851,5.7272727272727275
15,29,44.86748682128123,5.950266692952148,10.333333333333334,6.482758620689655
18,54,39.18044828279803,6.06861880694068,9.055555555555555,5.7592592592592595
24,29,41.98648333656412,6.798892692868655,8.625,5.517241379310345
18,55,38.95536140149275,5.811928379370638,9.833333333333334,5.454545454545454
23,29,43.41893577151988,6.885965850534638,9.478260869565217,5.517241379310345
32,57,40.79883919360055,5.685114476810181,10.34375,5.824561403508772
51,51,48.524538536736124,6.341408307664412,9.058823529411764,5.705882352941177
60,46,36.753768200324444,6.200632924253765,9.033333333333333,5.173913043478261
11,17,43.69357056981736,6.229854346976666,8.545454545454545,5.705882352941177
50,38,38.6897527791597,6.120202832560035,9.42,5.2894736842105265
15,50,41.00857869645542,6.067931889839698,9.866666666666667,5.1
51,40,39.80993098349338,6.781486190187996,9.490196078431373,4.95
