nr_ambs,nr_emergencias,velocidade_amb,dist_amb_emer,prioridade_emergencia,tempo_de_resposta
9,9,13,4.47213595499958,8,1.6880209161537816
9,8,14,6.0,8,1.8571428571428572
9,6,14,19.209372712298546,7,3.744196101756935
9,6,14,2.0,5,2.2857142857142856
9,5,13,36.069377593742864,5,7.549135014421979
9,4,14,24.020824298928627,5,5.431546328418375
9,3,10,25.96150997149434,2,10.192301994298868
9,2,14,25.079872407968907,1,13.58283891542413
9,1,14,30.23243291566195,1,14.318918987951708
10,10,14,28.653097563788805,10,5.093299651969829
10,9,14,25.0,10,4.571428571428571
10,8,13,15.556349186104045,8,3.393284490169853
10,7,14,14.422205101855956,6,3.060315014550851
10,6,14,11.40175425099138,6,2.6288220358559116
10,5,11,29.068883707497267,5,7.285251583181322
10,4,11,31.064449134018133,3,8.648081660730568
10,3,14,3.1622776601683795,3,3.4517539514526256
10,2,14,17.804493814764857,3,5.54349911639498
10,1,14,27.202941017470888,2,8.88613443106727
11,10,14,15.620499351813308,10,3.231499907401901
11,9,12,27.730849247724095,2,9.621808207954015
11,8,14,37.53664875824692,9,6.362378394035274
11,7,11,19.79898987322333,9,4.5998163405860595
11,6,14,15.264337522473747,9,3.180619646067678
11,5,8,24.186773244895647,8,7.046693311223912
11,4,10,22.47220505424423,8,5.494441010848846
11,3,7,10.44030650891055,7,3.982944716831586
11,2,14,14.142135623730951,4,4.020305089104422
11,1,9,24.758836806279895,2,10.501963734728864
12,9,10,5.385164807134504,10,2.0770329614269007
12,9,11,33.97057550292606,10,7.1764682732592835
12,8,11,26.1725046566048,7,5.7586372102917815
12,7,13,27.294688127912362,6,5.199182788909594
12,6,12,31.827660925679098,6,6.30461015427985
12,5,10,23.769728648009426,6,5.753945729601885
12,4,14,28.844410203711913,4,6.120630029101702
12,3,10,26.076809620810597,3,8.215361924162119
12,2,11,23.853720883753127,2,9.337040160682387
12,1,13,27.892651361962706,2,9.291177132609647
10,11,14,29.206163733020468,10,5.172309104717209
10,11,13,24.186773244895647,6,4.721042037676254
10,11,14,34.40930106817051,9,5.915614438310072
10,11,12,29.068883707497267,7,5.844813951249544
10,11,11,18.601075237738275,7,4.382013679588777
10,11,9,5.385164807134504,6,2.196703290474334
10,11,14,9.0,9,2.2857142857142856
10,11,8,27.80287754891569,6,7.950719387228922
10,11,14,22.02271554554524,7,4.1461022207921765
10,11,14,4.123105625617661,6,1.5890150893739516
10,21,14,27.018512172212592,10,4.859787453173228
10,21,14,26.0,6,4.714285714285714
10,21,13,24.166091947189145,9,4.717860299567561
10,21,12,22.02271554554524,6,4.6704525909242065
10,21,11,19.0,10,4.454545454545455
10,21,14,17.804493814764857,6,3.5434991163949796
10,21,14,31.622776601683793,5,6.5175395145262565
10,21,13,27.784887978899608,9,5.27459815059994
10,21,12,24.596747752497688,9,5.099457958749615
10,21,14,34.655446902326915,5,6.950778128903845
10,30,14,39.59797974644666,10,6.656854249492381
10,29,14,28.284271247461902,5,6.040610178208843
10,28,13,24.0,7,4.6923076923076925
10,27,12,23.600847442411894,5,5.933474573735316
10,26,11,34.20526275297414,5,8.219138682358935
10,25,7,27.459060435491963,4,9.845445838711989
10,24,9,5.656854249492381,4,3.257078722109418
10,23,14,24.331050121192877,4,5.475864303027554
10,22,14,9.055385138137417,4,3.2936264483053455
10,21,13,22.67156809750927,4,5.487933553462964
10,20,14,17.029386365926403,3,5.432769480846629
10,19,14,25.238858928247925,3,6.60555127546399
10,18,13,18.027756377319946,3,5.773500981126146
10,17,12,1.0,3,3.1666666666666665
10,16,11,15.811388300841896,3,5.874797872880345
